Place,Surface,Room Number,Flooring,Balcony,Price
Adamovićevo Naselje,60,3.0,2,1,185000.0
Detelinara,62,3.0,3,1,99000.0
Adice,35,1.5,1,1,58330.0
Klisa,91,4.0,1,1,133100.0
Adice,51,2.0,0,1,73650.0
Nova Detelinara,36,1.5,2,1,101970.0
Bulevar Oslobođenja,91,3.0,1,1,216000.0
Detelinara,48,2.0,2,1,105000.0
Liman,74,3.0,4,1,154500.0
Stari Grad,89,3.0,1,0,170000.0
Novo Naselje,94,4.0,5,1,140390.0
Novo Naselje,82,3.0,5,1,122460.0
Novo Naselje,86,3.0,5,1,128440.0
Banatić,38,1.5,5,1,87550.0
Telep,66,3.5,0,1,143670.0
Telep,58,2.5,1,1,127900.0
Banatić,60,2.5,3,1,130000.0
Nova Detelinara,49,2.0,2,1,126000.0
Telep,113,4.0,4,1,174500.0
Novo Naselje,59,2.5,1,0,121540.0
Nova Detelinara,25,0.5,2,1,66000.0
Petrovaradin,56,2.0,3,1,76220.0
Adice,29,0.5,0,0,44805.0
Nova Detelinara,115,4.0,1,1,310000.0
Adice,81,3.0,3,1,99910.0
Novo Naselje,93,4.0,2,1,175000.0
Adice,42,1.5,1,1,70700.0
Adice,67,3.5,2,1,103500.0
Adice,37,2.0,2,1,57170.0
Adice,80,3.0,2,1,107100.0
Petrovaradin,82,3.5,4,1,169000.0
Telep,59,3.0,0,1,146260.0
Grbavica,123,4.0,6,1,375950.0
Grbavica,24,0.5,2,1,72000.0
Adice,27,0.5,0,0,38900.0
Bulevar Oslobođenja,42,1.5,5,1,89600.0
Stari Grad,112,4.0,7,1,437800.0
Grbavica,52,2.0,3,1,108000.0
Stari Grad,24,0.5,4,1,67980.0
Petrovaradin,38,1.5,1,1,68900.0
Nova Detelinara,47,2.5,-1,0,58700.0
Stari Grad,119,3.5,1,1,270000.0
Petrovaradin,47,2.0,0,1,87140.0
Stari Grad,58,2.5,3,1,125500.0
Novo Naselje,75,3.5,5,1,154500.0
Adice,100,4.0,1,1,185900.0
Podbara,60,2.0,3,1,154500.0
Stari Grad,30,0.5,1,1,79000.0
Detelinara,43,1.5,0,0,95000.0
Banatić,56,2.0,6,0,100940.0
Stari Grad,44,2.0,2,1,135960.0
Liman,25,0.5,2,1,72100.0
Grbavica,33,1.5,4,1,95790.0
Telep,66,2.5,0,1,168250.0
Petrovaradin,62,2.5,1,1,98000.0
Stari Grad,25,0.5,1,0,77250.0
Stari Grad,63,2.0,5,1,129780.0
Adice,50,2.5,1,1,82570.0
Stari Grad,87,3.0,1,1,173500.0
Telep,81,4.0,2,1,108690.0
Telep,39,2.0,2,1,80340.0
Grbavica,35,1.5,0,1,93730.0
Novo Naselje,47,2.0,2,1,102500.0
Nova Detelinara,83,3.5,2,1,179530.0
Stari Grad,31,1.5,0,1,80340.0
Liman,72,3.0,5,1,154500.0
Podbara,38,2.0,2,0,109700.0
Sremska Kamenica,58,3.0,0,1,89610.0
Adamovićevo Naselje,107,4.0,3,1,281190.0
Bulevar Oslobođenja,37,1.0,5,1,89980.0
Nova Detelinara,36,1.5,2,1,101970.0
Bulevar Evrope,40,2.0,5,1,139000.0
Novo Naselje,47,2.0,6,0,80000.0
Novo Naselje,64,2.5,14,1,113300.0
Sajmište,63,3.0,5,1,133900.0
Grbavica,39,1.5,0,0,87550.0
Telep,27,0.5,2,1,49000.0
Stari Grad,38,1.0,7,0,93730.0
Stari Grad,30,1.5,0,0,92700.0
Liman,64,3.0,7,1,149750.0
Novo Naselje,82,3.0,5,1,122470.0
Nova Detelinara,37,1.5,5,1,87550.0
Stari Grad,28,0.5,0,0,70000.0
Telep,33,1.5,2,0,82400.0
Satelit,33,1.5,3,1,66950.0
Stari Grad,45,1.5,3,1,106600.0
Grbavica,33,1.0,1,0,68000.0
Bulevar Evrope,75,2.5,3,1,120500.0
Novo Naselje,33,0.5,1,1,66200.0
Veternik,35,1.5,5,0,45000.0
Liman,62,2.0,3,1,140500.0
Rotkvarija,99,4.0,3,1,226600.0
Podbara,67,2.5,4,1,149350.0
Adice,39,1.5,2,1,77000.0
Adice,61,3.0,0,1,106500.0
Liman,107,3.0,3,1,247970.0
Telep,41,1.5,1,1,99910.0
Nova Detelinara,53,2.5,8,1,163770.0
Telep,62,2.5,4,1,116000.0
Nova Detelinara,53,2.0,0,0,120000.0
Telep,276,4.0,4,1,535000.0
Veternik,107,4.0,1,1,187000.0
Sajmište,60,2.5,0,1,116000.0
Novo Naselje,49,2.0,1,1,100000.0
Stari Grad,115,4.0,2,0,399000.0
Stari Grad,112,4.0,1,1,288400.0
Nova Detelinara,66,3.0,1,1,154500.0
Stari Grad,94,3.0,3,1,245000.0
Liman,77,3.0,6,1,164800.0
Stari Grad,79,3.0,2,1,233000.0
Podbara,62,3.0,2,1,185400.0
Bulevar Oslobođenja,70,2.5,7,1,125650.0
Liman,58,2.5,1,0,133900.0
Salajka,63,2.5,3,1,154500.0
Nova Detelinara,48,2.0,5,1,123600.0
Petrovaradin,43,2.0,0,1,82400.0
Detelinara,48,2.0,2,1,105000.0
Podbara,40,1.5,2,1,72000.0
Novo Naselje,32,1.5,5,0,82400.0
Nova Detelinara,25,0.5,1,0,69500.0
Adamovićevo Naselje,20,0.5,4,1,43300.0
Adice,29,0.5,0,0,43260.0
Grbavica,155,4.0,4,1,350000.0
Petrovaradin,42,1.5,4,1,91500.0
Stari Grad,79,3.0,2,1,233000.0
Detelinara,62,3.0,0,1,119000.0
Stari Grad,34,1.5,-1,0,59740.0
Bulevar Oslobođenja,23,0.5,2,0,64000.0
Grbavica,119,3.0,5,1,232800.0
Nova Detelinara,49,2.5,5,1,100000.0
Majur,40,1.5,2,1,94250.0
Podbara,45,1.5,1,1,123600.0
Grbavica,33,1.5,1,0,77000.0
Adice,29,0.5,0,0,42000.0
Podbara,95,4.0,2,1,239000.0
Petrovaradin,93,4.0,1,1,186300.0
Telep,54,2.5,3,1,155000.0
Stari Grad,23,1.0,-1,0,43000.0
Grbavica,30,1.0,3,1,86500.0
Nova Detelinara,50,2.0,3,1,123600.0
Novo Naselje,65,2.0,7,1,123850.0
Telep,49,2.5,18,1,85900.0
Telep,40,1.5,3,0,123600.0
Bulevar Oslobođenja,39,1.5,15,0,83000.0
Novo Naselje,42,1.0,2,1,87550.0
Banatić,30,0.5,0,0,83430.0
Veternik,24,0.5,1,0,38000.0
Bulevar Evrope,230,3.0,11,1,711000.0
Podbara,54,3.0,1,1,133900.0
Telep,88,3.0,3,1,140500.0
Bulevar Oslobođenja,61,2.0,6,1,119480.0
Banatić,51,2.5,3,1,120000.0
Novo Naselje,40,1.0,1,0,85000.0
Sajmište,41,1.5,3,1,95480.0
Liman,55,2.0,3,1,123600.0
Detelinara,48,1.0,2,1,84000.0
Bulevar Oslobođenja,127,4.0,1,1,369000.0
Telep,108,5.5,5,1,295000.0
Nova Detelinara,58,3.0,3,1,160000.0
Liman,61,2.5,8,1,142000.0
Nova Detelinara,76,2.5,4,1,137000.0
Nova Detelinara,38,1.5,5,1,97850.0
Bulevar Oslobođenja,71,3.0,3,1,124000.0
Novo Naselje,27,1.0,0,0,59500.0
Satelit,48,2.5,0,0,87550.0
Telep,54,2.5,3,1,150500.0
Nova Detelinara,51,2.5,1,1,103000.0
Grbavica,79,3.0,1,0,197000.0
Telep,40,2.0,3,1,113520.0
Nova Detelinara,48,1.5,5,1,120000.0
Grbavica,64,3.0,1,1,155000.0
Grbavica,47,2.0,0,0,115050.0
Bulevar Oslobođenja,21,0.5,5,0,63000.0
Detelinara,58,2.5,3,1,123000.0
Liman,53,2.0,5,1,135000.0
Stari Grad,24,0.5,1,1,59000.0
Telep,47,2.0,2,1,114850.0
Rotkvarija,39,1.5,1,1,132900.0
Sajmište,116,4.0,5,1,298700.0
Novo Naselje,80,3.0,1,1,155000.0
Adamovićevo Naselje,84,3.0,2,0,211150.0
Liman,74,2.5,4,1,150000.0
Bulevar Oslobođenja,59,2.0,5,1,140000.0
Nova Detelinara,84,3.5,5,1,129780.0
Bulevar Oslobođenja,53,2.0,3,1,139050.0
Stari Grad,67,3.0,4,1,188000.0
Rotkvarija,33,1.5,3,0,100940.0
Sajmište,54,2.0,1,1,124200.0
Novo Naselje,82,4.0,4,0,133900.0
Bulevar Oslobođenja,93,4.0,2,1,198100.0
Stari Grad,66,3.0,3,1,139050.0
Nova Detelinara,49,2.5,5,1,100000.0
Detelinara,47,2.0,4,1,64000.0
Adamovićevo Naselje,94,3.5,1,1,218000.0
Sajmište,123,4.0,5,1,344000.0
Telep,58,3.0,2,0,114000.0
Nova Detelinara,50,2.0,3,1,120000.0
Bulevar Evrope,81,4.0,5,1,164500.0
Telep,141,4.0,5,1,288000.0
Grbavica,47,1.5,1,0,71790.0
Podbara,53,2.5,3,0,132960.0
Podbara,53,2.5,3,0,132960.0
Podbara,45,2.0,1,0,87650.0
Bulevar Oslobođenja,50,2.0,12,1,95000.0
Bulevar Oslobođenja,71,3.0,3,1,185400.0
Grbavica,78,2.5,6,1,128750.0
Stari Grad,76,3.0,3,1,206000.0
Rotkvarija,43,2.0,3,1,110730.0
Liman,31,1.0,1,1,86520.0
Telep,57,2.5,2,1,123600.0
Stari Grad,74,3.0,4,0,235520.0
Stari Grad,44,2.0,2,1,140040.0
Adice,59,3.0,2,1,84460.0
Nova Detelinara,61,2.5,2,1,127310.0
Liman,64,2.5,2,1,146400.0
Bulevar Oslobođenja,68,3.0,1,1,216430.0
Stari Grad,23,1.5,6,0,66950.0
Salajka,82,4.0,1,1,164800.0
Bulevar Oslobođenja,134,4.0,6,1,345000.0
Stari Grad,79,3.0,2,1,233000.0
Nova Detelinara,75,3.0,3,1,142910.0
Nova Detelinara,45,2.0,2,1,115160.0
Telep,52,2.5,2,1,110400.0
Nova Detelinara,73,4.0,5,1,164440.0
Bulevar Evrope,24,1.0,3,0,72100.0
Grbavica,56,3.0,4,0,143200.0
Telep,63,3.0,1,1,139000.0
Novo Naselje,33,0.5,3,1,72100.0
Telep,26,0.5,1,0,65920.0
Bulevar Oslobođenja,110,4.0,2,1,250000.0
Adice,31,1.5,2,1,75000.0
Adice,84,3.5,1,1,120510.0
Telep,56,2.5,3,1,122780.0
Rotkvarija,63,3.0,2,1,194670.0
Grbavica,55,2.0,2,0,128750.0
Novo Naselje,34,1.5,5,0,83430.0
Rotkvarija,45,1.5,3,0,157500.0
Sajmište,95,4.0,3,1,281320.0
Podbara,46,2.5,3,0,133900.0
Nova Detelinara,39,1.5,1,1,113300.0
Stari Grad,63,2.0,1,1,216300.0
Liman,62,2.0,1,1,173000.0
Detelinara,54,2.0,1,1,110200.0
Adice,36,1.5,0,0,66950.0
Satelit,46,2.0,3,1,170000.0
Futoški Put,48,2.5,1,0,90000.0
Liman,136,4.0,4,1,350200.0
Bulevar Evrope,47,2.0,3,1,84450.0
Bulevar Evrope,43,2.0,2,1,79330.0
Detelinara,58,2.5,3,1,103000.0
Adamovićevo Naselje,134,4.0,6,1,463500.0
Stari Grad,38,1.5,2,1,103700.0
Novo Naselje,65,3.0,8,0,149000.0
Detelinara,62,3.0,0,1,119000.0
Veternik,43,2.0,2,1,88580.0
Podbara,73,3.0,1,0,195700.0
Novo Naselje,65,3.0,8,0,149000.0
Detelinara,62,3.0,0,1,119000.0
Veternik,43,2.0,2,1,88580.0
Podbara,73,3.0,1,0,195700.0
Mali Beograd,65,4.0,1,1,97000.0
Mali Beograd,130,5.0,2,1,152955.0
Podbara,44,2.0,1,0,113300.0
Petrovaradin,39,1.5,1,0,83900.0
Podbara,26,1.0,1,0,75000.0
Podbara,59,2.0,1,0,145850.0
Stari Grad,66,3.0,2,1,160000.0
Sajmište,143,4.0,1,1,418000.0
Telep,48,2.5,0,0,103000.0
Bulevar Evrope,24,1.0,3,0,70040.0
Adice,82,3.0,1,1,127100.0
Stari Grad,81,3.0,0,0,196050.0
Adice,99,4.0,2,1,168300.0
Adice,75,4.0,1,1,127480.0
Telep,46,3.0,2,1,108150.0
Bulevar Oslobođenja,38,1.5,1,1,97850.0
Bulevar Evrope,45,2.0,7,1,117400.0
Podbara,98,4.0,3,1,220000.0
Stari Grad,38,1.5,-1,0,58000.0
Nova Detelinara,30,1.5,4,0,63000.0
Bulevar Evrope,111,4.0,4,1,275000.0
Stari Grad,39,2.0,2,0,130000.0
Bulevar Oslobođenja,58,2.5,5,1,164800.0
Nova Detelinara,47,2.0,4,1,114130.0
Liman,53,2.0,6,1,149350.0
Telep,57,2.5,1,1,139050.0
Bulevar Evrope,150,5.0,1,1,330000.0
Banatić,51,2.0,1,1,103000.0
Petrovaradin,82,4.0,2,1,168920.0
Adamovićevo Naselje,35,1.0,0,0,80340.0
Telep,54,2.0,1,1,77250.0
Nova Detelinara,66,3.0,1,1,212000.0
Stari Grad,24,0.5,1,1,74160.0
Liman,41,1.5,3,1,103000.0
Novo Naselje,59,2.5,4,1,139050.0
Adice,53,3.0,1,1,102240.0
Telep,66,3.0,2,1,139050.0
Stari Grad,37,1.5,7,0,129780.0
Liman,70,2.5,2,1,187460.0
Novo Naselje,54,2.0,3,1,105060.0
Adice,29,0.5,0,0,44805.0
Nova Detelinara,34,1.5,1,0,92700.0
Petrovaradin,81,3.0,1,1,206000.0
Klisa,70,3.0,1,0,175100.0
Nova Detelinara,41,2.0,1,0,105600.0
Bulevar Evrope,111,4.0,1,0,278100.0
Novo Naselje,53,2.5,1,0,118450.0
Telep,56,2.5,1,0,94700.0
Detelinara,47,2.0,1,0,128750.0
Detelinara,89,3.0,1,0,154500.0
Bulevar Oslobođenja,46,2.0,3,1,132660.0
Grbavica,23,0.5,2,1,71100.0
Nova Detelinara,74,3.0,3,1,166500.0
Adice,67,3.5,1,1,93170.0
Bulevar Oslobođenja,48,2.0,4,1,113000.0
Bulevar Oslobođenja,48,2.0,4,1,113000.0
Sajmište,85,4.0,1,1,210635.0
Sajmište,94,4.0,1,1,233261.0
Sajmište,94,4.0,1,1,234125.0
Sajmište,94,4.0,1,1,234224.0
Grbavica,30,0.5,3,1,86520.0
Grbavica,69,3.0,1,0,159900.0
Telep,16,0.5,0,0,43260.0
Bulevar Evrope,88,4.0,2,1,199408.0
Adice,40,2.5,2,1,72100.0
Podbara,29,0.5,1,1,83630.0
Podbara,42,2.0,1,1,119970.0
Bulevar Oslobođenja,28,0.5,3,1,79310.0
Stari Grad,22,0.5,2,1,68000.0
Adice,27,0.5,0,0,38800.0
Novo Naselje,55,2.0,0,1,95000.0
Adice,29,0.5,0,0,43260.0
Podbara,68,3.5,4,1,133900.0
Adice,28,0.5,0,0,43260.0
Adice,28,0.5,0,0,43260.0
Adice,28,0.5,0,0,43260.0
Grbavica,52,2.0,4,1,117300.0
Rotkvarija,41,2.0,0,0,145000.0
Stari Grad,153,4.5,4,1,470000.0
Podbara,26,0.5,0,0,66950.0
Salajka,30,0.5,4,1,79300.0
Sajmište,54,2.0,4,1,123000.0
Bulevar Oslobođenja,51,3.5,1,0,236900.0
Stari Grad,74,3.0,1,0,182930.0
Grbavica,55,2.0,2,1,139050.0
Novo Naselje,39,2.0,6,1,100760.0
Telep,35,1.5,4,1,85850.0
Telep,107,4.0,4,1,232280.0
Telep,43,1.5,4,1,105180.0
Telep,31,1.5,4,1,77050.0
Telep,90,3.0,4,0,194950.0
Detelinara,50,2.0,3,1,123600.0
Majur,62,3.0,4,0,121790.0
Bulevar Oslobođenja,61,2.5,1,1,142160.0
Telep,94,5.0,0,0,169950.0
Stari Grad,78,3.0,4,0,200850.0
Adice,27,1.0,1,0,39970.0
Telep,40,1.5,1,1,96800.0
Telep,27,0.5,1,1,75100.0
Stari Grad,38,1.5,4,1,125250.0
Telep,67,3.0,1,1,138700.0
Sremska Kamenica,71,3.0,0,1,144200.0
Adamovićevo Naselje,67,3.0,3,1,179220.0
Bulevar Oslobođenja,53,2.0,8,1,163770.0
Stari Grad,48,1.5,2,1,153470.0
Stari Grad,67,2.5,4,1,149350.0
Grbavica,26,0.5,5,1,68000.0
Klisa,117,4.0,0,1,190550.0
Adice,97,5.0,1,1,154500.0
Nova Detelinara,22,0.5,5,1,43260.0
Salajka,42,1.5,4,0,133900.0
Telep,78,3.0,4,1,190550.0
Liman,57,2.5,1,1,118450.0
Telep,75,4.5,1,0,169950.0
Stari Grad,70,2.5,3,1,149350.0
Liman,49,1.5,7,1,128750.0
Telep,38,1.5,1,1,101800.0
Grbavica,39,1.5,0,0,91670.0
Petrovaradin,50,2.5,1,1,88250.0
Sajmište,143,4.0,1,1,418000.0
Stari Grad,112,4.0,1,1,288400.0
Nova Detelinara,27,0.5,5,1,68500.0
Telep,54,3.0,2,0,146600.0
Nova Detelinara,43,2.0,0,1,113300.0
Liman,82,4.0,1,1,253380.0
Stari Grad,69,3.0,3,1,132600.0
Nova Detelinara,47,2.0,4,1,114124.0
Adice,36,0.5,0,1,72100.0
Detelinara,26,0.5,2,1,71070.0
Detelinara,89,3.0,5,0,157590.0
Sajmište,63,3.0,3,1,144200.0
Sremska Kamenica,46,2.0,1,1,106500.0
Adice,55,2.5,0,1,87550.0
Sajmište,87,4.0,2,1,216390.0
Telep,87,4.0,3,1,257500.0
Bulevar Evrope,44,2.0,5,1,127310.0
Nova Detelinara,36,1.5,3,1,90000.0
Liman,81,3.0,1,1,179000.0
Sajmište,54,2.0,1,0,136990.0
Liman,47,1.5,1,0,120500.0
Bulevar Oslobođenja,56,2.0,1,0,123600.0
Nova Detelinara,58,3.0,4,1,154500.0
Adice,87,3.0,3,0,147400.0
Stari Grad,23,0.5,3,1,75810.0
Telep,73,3.5,5,1,164800.0
Stari Grad,27,0.5,4,1,99910.0
Stari Grad,35,1.0,2,1,77250.0
Stari Grad,106,3.5,1,1,144200.0
Petrovaradin,40,2.0,2,1,96050.0
Nova Detelinara,59,3.0,2,1,138000.0
Telep,52,2.5,2,1,107100.0
Adice,27,0.5,0,0,40685.0
Liman,77,3.0,10,0,185400.0
Grbavica,50,2.0,2,1,123600.0
Petrovaradin,43,1.5,0,1,82400.0
Sajmište,64,2.0,6,0,139050.0
Detelinara,63,3.0,2,1,146000.0
Nova Detelinara,45,2.0,2,1,113300.0
Liman,55,2.0,6,1,122570.0
Banatić,42,2.0,5,1,77250.0
Adice,60,3.5,0,0,108210.0
Adice,28,1.5,0,0,40500.0
Telep,60,2.5,0,1,115500.0
Adice,29,0.5,0,0,37600.0
Bulevar Oslobođenja,50,2.0,2,1,123600.0
Sajmište,60,2.5,3,1,129900.0
Rotkvarija,111,4.0,4,1,228600.0
Novo Naselje,53,2.5,2,1,118500.0
Bulevar Evrope,87,3.0,1,1,288400.0
Bulevar Evrope,53,1.5,4,0,92700.0
Sajmište,29,0.5,4,1,81370.0
Novo Naselje,49,2.0,4,1,85800.0
Nova Detelinara,85,4.0,1,1,118450.0
Telep,100,4.0,0,1,249260.0
Liman,30,1.0,1,0,77250.0
Novo Naselje,31,1.0,3,1,74160.0
Stari Grad,81,3.0,1,0,196000.0
Novo Naselje,74,3.0,3,1,203450.0
Stari Grad,79,4.0,5,0,306950.0
Stari Grad,67,3.0,4,0,180000.0
Grbavica,103,4.0,6,1,164800.0
Telep,84,3.5,1,1,185900.0
Majur,48,2.0,4,0,101090.0
Majur,37,1.5,4,0,83570.0
Bulevar Oslobođenja,70,3.0,7,0,217000.0
Majur,26,0.5,2,0,69700.0
Sremska Kamenica,71,3.5,0,1,92700.0
Stari Grad,39,1.5,5,0,92700.0
Petrovaradin,45,2.0,-1,1,74100.0
Sremska Kamenica,39,1.5,2,1,61800.0
Liman,81,3.0,2,1,230000.0
Banatić,25,1.0,11,1,54000.0
Nova Detelinara,54,2.5,3,1,113300.0
Stari Grad,36,1.0,-1,0,77250.0
Nova Detelinara,54,2.5,3,1,113300.0
Stari Grad,36,1.0,-1,0,77250.0
Salajka,47,2.0,1,1,95400.0
Salajka,85,4.0,3,1,161090.0
Salajka,86,4.0,2,1,161090.0
Salajka,50,2.0,3,1,101360.0
Salajka,44,2.0,3,1,90932.0
Salajka,55,3.0,3,1,109590.0
Rotkvarija,77,3.0,2,1,164800.0
Salajka,50,2.0,2,1,101360.0
Rotkvarija,122,4.0,5,1,430000.0
Rotkvarija,82,3.0,1,1,173140.0
Grbavica,71,4.0,5,1,173000.0
Grbavica,22,0.5,4,0,72100.0
Rotkvarija,125,4.0,2,1,309000.0
Bulevar Oslobođenja,64,3.5,5,1,144200.0
Detelinara,62,3.0,2,1,125660.0
Rotkvarija,23,0.5,0,0,62000.0
Petrovaradin,87,3.0,1,1,134420.0
Podbara,56,2.5,1,0,164800.0
Satelit,30,1.0,1,0,71070.0
Podbara,43,2.0,4,1,123600.0
