Place,Surface,Room Number,Flooring,Balcony,Price
Salajka,50,2.0,1,1,149350.0
Telep,15,0.5,0,0,27500.0
Nova Detelinara,84,4.0,5,1,129750.0
Novo Naselje,55,2.0,0,1,108000.0
Liman,73,3.0,5,1,175100.0
Grbavica,48,2.0,5,1,118450.0
Stari Grad,57,2.0,2,0,152440.0
Telep,44,2.0,1,1,108800.0
Nova Detelinara,66,3.0,4,1,142750.0
Novo Naselje,36,1.5,2,1,81500.0
Stari Grad,80,3.0,3,1,181500.0
Grbavica,33,1.0,1,0,77000.0
Novo Naselje,55,1.5,4,1,82400.0
Detelinara,47,2.0,4,1,64000.0
Nova Detelinara,25,0.5,1,0,69500.0
Nova Detelinara,56,2.0,2,1,104000.0
Detelinara,48,2.0,2,1,105000.0
Grbavica,58,2.5,1,1,153970.0
Sajmište,49,1.5,1,1,151410.0
Podbara,54,2.0,2,0,83430.0
Adice,75,4.0,1,0,93000.0
Adice,34,1.0,1,0,56050.0
Bulevar Oslobođenja,75,2.5,8,1,139050.0
Salajka,43,1.5,1,0,127250.0
Stari Grad,77,3.0,2,1,160000.0
Adice,42,2.0,1,0,68300.0
Podbara,52,2.5,2,1,139250.0
Banatić,56,2.5,1,1,175100.0
Grbavica,123,4.0,6,1,376000.0
Sajmište,47,2.5,0,1,123600.0
Liman,100,4.0,1,0,329600.0
Satelit,49,2.0,1,1,103000.0
Detelinara,23,0.5,5,0,56650.0
Novo Naselje,50,2.0,4,0,77500.0
Stari Grad,73,3.0,4,0,133900.0
Nova Detelinara,83,3.0,5,1,136800.0
Bulevar Evrope,54,2.0,4,1,132500.0
Telep,48,3.0,0,1,104500.0
Telep,65,2.5,0,0,167400.0
Telep,150,4.0,1,0,340000.0
Stari Grad,67,3.0,4,1,195200.0
Nova Detelinara,26,0.5,3,1,73000.0
Liman,59,2.0,6,0,122600.0
Bulevar Oslobođenja,62,2.5,9,1,133900.0
Stari Grad,36,1.5,2,1,123600.0
Novo Naselje,62,3.0,1,1,135960.0
Nova Detelinara,57,2.5,1,1,146800.0
Detelinara,148,5.0,1,1,311000.0
Telep,79,4.0,1,1,170000.0
Stari Grad,84,3.0,6,1,225000.0
Rotkvarija,23,1.0,1,0,68000.0
Nova Detelinara,99,4.0,1,0,185300.0
Sajmište,72,2.0,0,0,87500.0
Adice,71,3.5,1,1,135950.0
Stari Grad,71,3.0,2,1,140000.0
Stari Grad,63,2.5,3,1,154500.0
Novo Naselje,94,4.0,5,1,140390.0
Nova Detelinara,40,1.5,1,1,113300.0
Liman,72,3.0,5,1,154500.0
Grbavica,48,2.0,5,1,118450.0
Liman,72,2.5,5,1,209200.0
Stari Grad,58,2.5,3,1,125400.0
Liman,30,0.5,13,0,75000.0
Podbara,24,0.5,1,0,72000.0
Podbara,38,1.5,2,0,100700.0
Sajmište,28,0.5,4,1,88000.0
Stari Grad,86,5.0,4,1,180500.0
Petrovaradin,80,3.5,2,1,149600.0
Podbara,43,2.0,4,1,120000.0
Sajmište,45,2.0,2,1,135000.0
Banatić,23,0.5,7,1,69000.0
Novo Naselje,65,2.0,7,1,120250.0
Podbara,43,2.0,4,1,123600.0
Novo Naselje,29,0.5,4,0,70900.0
Liman,79,3.0,6,1,211100.0
Podbara,27,0.5,0,0,72100.0
Stari Grad,21,0.5,0,0,61800.0
Stari Grad,32,1.0,4,1,90000.0
Rotkvarija,47,3.0,1,1,160100.0
Rotkvarija,23,0.5,7,1,73150.0
Telep,46,3.0,2,1,108100.0
Bulevar Oslobođenja,53,2.0,8,1,164200.0
Novo Naselje,65,3.0,8,0,153900.0
Grbavica,35,1.5,0,1,108100.0
Nova Detelinara,86,4.0,3,1,236900.0
Salajka,32,1.5,1,0,87500.0
Detelinara,85,4.0,5,1,144200.0
Novo Naselje,29,0.5,4,0,71000.0
Stari Grad,24,0.5,1,1,74150.0
Liman,30,0.5,13,0,77250.0
Adice,74,3.0,1,1,118150.0
Adice,65,3.5,0,1,103800.0
Bulevar Oslobođenja,40,2.0,4,1,128750.0
Sajmište,53,2.0,8,1,164300.0
Stari Grad,56,2.5,1,1,173050.0
Salajka,45,1.5,4,1,78800.0
Kamenjar,33,0.5,1,0,56700.0
Sajmište,64,2.0,6,1,139050.0
Adice,60,2.5,2,1,98670.0
Detelinara,40,1.5,3,1,109180.0
Banatić,23,1.0,7,0,71000.0
Liman,39,1.5,9,1,97800.0
Bulevar Oslobođenja,60,2.5,0,1,119480.0
Adamovićevo Naselje,55,2.5,5,0,123600.0
Rotkvarija,48,2.0,2,0,153470.0
Telep,57,3.5,2,1,99910.0
Majur,53,2.5,0,0,122570.0
Podbara,56,2.5,0,1,122550.0
Bulevar Oslobođenja,82,4.0,3,1,261830.0
Bulevar Oslobođenja,82,4.0,3,1,261830.0
Grbavica,47,2.0,2,1,133900.0
Grbavica,73,3.0,2,1,168720.0
Stari Grad,48,2.0,2,1,153470.0
Stari Grad,72,3.0,5,1,180765.0
Adice,28,0.5,0,1,42500.0
Bulevar Oslobođenja,28,1.0,0,1,87550.0
Telep,57,2.5,3,1,111550.0
Detelinara,43,1.5,4,1,118450.0
Stari Grad,92,4.0,1,1,274800.0
Telep,58,2.5,3,1,132870.0
Bulevar Oslobođenja,65,3.5,6,1,141110.0
Bulevar Oslobođenja,73,3.5,7,1,164800.0
Bulevar Oslobođenja,110,4.0,2,1,249900.0
Bulevar Oslobođenja,63,3.0,1,1,124000.0
Stari Grad,50,2.0,1,0,231750.0
Bulevar Oslobođenja,33,1.0,3,1,84980.0
Podbara,46,2.5,2,1,118450.0
Sremska Kamenica,142,5.0,1,0,292500.0
Nova Detelinara,53,2.5,5,0,131330.0
Nova Detelinara,73,3.0,6,1,142800.0
Stari Grad,148,3.5,4,1,244200.0
Adice,36,1.5,1,0,66950.0
Bulevar Evrope,94,4.0,1,0,154500.0
Stari Grad,43,1.5,6,1,85000.0
Grbavica,55,2.0,2,1,128800.0
Sajmište,93,4.0,2,1,210750.0
Bulevar Oslobođenja,101,3.0,5,1,218360.0
Podbara,30,0.5,1,1,72100.0
Nova Detelinara,55,2.5,1,1,211150.0
Telep,49,2.5,0,1,114950.0
Telep,115,4.5,1,1,248600.0
Telep,61,3.0,2,1,144100.0
Telep,55,2.5,2,1,129200.0
Novo Naselje,65,2.5,5,1,142150.0
Adamovićevo Naselje,98,5.0,5,1,185000.0
Grbavica,56,3.0,1,1,173000.0
Novo Naselje,53,2.5,3,1,106460.0
Novo Naselje,65,2.5,1,1,129780.0
Stari Grad,30,0.5,0,1,77800.0
Adice,67,2.5,2,1,99500.0
Grbavica,47,2.0,2,1,142800.0
Kamenjar,40,1.5,0,1,67500.0
Adice,29,0.5,3,0,64890.0
Grbavica,106,4.0,2,0,247200.0
Podbara,30,0.5,1,1,72100.0
Nova Detelinara,55,2.5,1,1,211150.0
Telep,49,2.5,0,1,114950.0
Telep,115,4.5,1,1,248600.0
Telep,61,3.0,2,1,144100.0
Telep,55,2.5,2,1,129200.0
Novo Naselje,65,2.5,5,1,142150.0
Adamovićevo Naselje,98,5.0,5,1,185000.0
Grbavica,56,3.0,1,1,173000.0
Novo Naselje,53,2.5,3,1,106460.0
Novo Naselje,65,2.5,1,1,129780.0
Stari Grad,30,0.5,0,1,77800.0
Adice,67,2.5,2,1,99500.0
Grbavica,47,2.0,2,1,142800.0
Kamenjar,40,1.5,0,1,67500.0
Adice,29,0.5,3,0,64890.0
Grbavica,106,4.0,2,0,247200.0
Nova Detelinara,98,4.5,3,1,164800.0
Salajka,86,4.0,1,1,161090.0
Salajka,44,1.5,1,1,90570.0
Salajka,44,1.5,1,1,90650.0
Salajka,43,1.5,1,1,88730.0
Salajka,47,1.5,2,1,95400.0
Salajka,44,1.5,2,1,90570.0
Salajka,47,1.5,2,1,95400.0
Salajka,44,1.5,3,1,90650.0
Adice,54,3.0,1,1,92700.0
Liman,52,2.0,0,0,107120.0
Liman,100,4.0,1,0,329600.0
Detelinara,77,3.0,1,0,133900.0
Adice,71,4.0,1,1,135960.0
Petrovaradin,60,2.0,1,0,135950.0
Adice,71,4.0,1,0,135960.0
Novo Naselje,62,3.0,1,0,113300.0
Adice,68,3.5,1,1,105060.0
Adice,36,1.5,0,1,66000.0
Grbavica,113,4.0,3,1,221150.0
Podbara,153,4.0,4,1,346690.0
Novo Naselje,121,4.0,1,0,412000.0
Rotkvarija,56,2.5,1,1,175100.0
Podbara,153,4.0,4,1,346690.0
Novo Naselje,121,4.0,1,0,412000.0
Rotkvarija,56,2.5,1,1,175100.0
Nova Detelinara,36,1.5,2,1,101970.0
Majur,41,1.5,1,1,88670.0
Petrovaradin,41,2.0,3,1,91770.0
Rotkvarija,65,3.0,1,1,148320.0
Novo Naselje,52,2.0,6,1,90640.0
Stari Grad,29,0.5,3,0,116400.0
Grbavica,39,2.0,0,0,87550.0
Majur,131,5.0,4,0,283070.0
Stari Grad,27,0.5,1,1,77250.0
Nova Detelinara,42,1.5,2,1,99500.0
Nova Detelinara,40,2.0,1,1,114350.0
Nova Detelinara,40,2.0,2,1,114350.0
Nova Detelinara,36,2.0,1,1,103420.0
Nova Detelinara,40,2.0,1,1,115880.0
Nova Detelinara,36,2.0,2,1,103420.0
Nova Detelinara,40,2.0,2,1,115880.0
Nova Detelinara,40,2.0,3,1,114550.0
Nova Detelinara,88,4.0,4,1,197530.0
Nova Detelinara,40,2.0,4,1,115910.0
Nova Detelinara,40,2.0,3,1,115910.0
Nova Detelinara,36,2.0,5,1,104080.0
Nova Detelinara,37,2.0,5,1,106190.0
Nova Detelinara,63,2.5,5,1,142290.0
Nova Detelinara,40,2.0,5,1,115900.0
Nova Detelinara,43,2.0,5,1,124130.0
Nova Detelinara,80,3.5,5,1,180830.0
Nova Detelinara,48,2.0,1,1,136930.0
Nova Detelinara,48,2.0,2,1,136930.0
Grbavica,33,1.5,4,1,95790.0
Adice,74,4.0,1,1,118990.0
Detelinara,47,2.0,1,0,96820.0
Novo Naselje,76,3.0,2,1,164800.0
Stari Grad,21,0.5,0,0,61800.0
Podbara,27,0.5,0,0,72100.0
Novo Naselje,73,3.0,4,1,139050.0
Grbavica,50,2.0,2,1,123600.0
Veternik,84,3.5,1,1,133650.0
Stari Grad,21,0.5,0,0,61800.0
Podbara,27,0.5,0,0,72100.0
Novo Naselje,73,3.0,4,1,139050.0
Grbavica,50,2.0,2,1,123600.0
Veternik,84,3.5,1,1,133650.0
Veternik,38,1.5,2,1,73200.0
Veternik,46,2.5,2,1,83400.0
Telep,87,4.0,3,1,221450.0
Liman,77,3.0,10,1,150600.0
Nova Detelinara,30,1.5,0,1,72100.0
Sajmište,100,3.0,4,1,267800.0
Bulevar Oslobođenja,55,2.0,1,0,139150.0
Grbavica,44,1.5,1,0,126900.0
Sajlovo,32,1.5,0,0,51500.0
Novo Naselje,25,1.5,0,0,51500.0
Banatić,54,2.0,0,0,114000.0
Telep,87,4.0,3,1,221450.0
Stari Grad,50,2.5,1,1,154500.0
Sajmište,51,2.0,1,1,97850.0
Telep,46,2.5,2,1,108150.0
Adice,23,1.0,1,0,55600.0
Adice,100,4.0,1,0,206000.0
Stari Grad,33,0.5,3,1,101900.0
Detelinara,47,2.0,1,0,96820.0
Grbavica,52,2.0,1,1,133900.0
Nova Detelinara,33,0.5,1,1,88400.0
Adice,72,3.0,1,1,130810.0
Nova Detelinara,59,2.0,-1,0,91670.0
Detelinara,38,1.0,1,1,87550.0
Nova Detelinara,40,1.5,2,1,99500.0
Detelinara,47,2.0,1,0,96820.0
Salajka,101,4.0,2,1,291280.0
Podbara,83,4.0,2,0,154500.0
Veternik,81,4.0,1,1,116800.0
Grbavica,103,4.0,1,1,276000.0
Rotkvarija,72,3.0,1,1,130000.0
Grbavica,53,2.0,0,0,139050.0
Stari Grad,127,4.0,3,1,242000.0
Stari Grad,107,4.0,2,1,275500.0
Petrovaradin,226,7.0,1,0,350000.0
Adice,34,1.5,2,1,61600.0
Adice,75,3.5,1,1,100500.0
Sajmište,56,2.0,6,1,101000.0
Adice,23,1.0,1,0,55600.0
Adice,100,4.0,1,0,206000.0
Stari Grad,33,0.5,3,1,101900.0
Detelinara,47,2.0,1,0,96820.0
Grbavica,52,2.0,1,1,133900.0
Nova Detelinara,33,0.5,1,1,88400.0
Adice,72,3.0,1,1,130810.0
Nova Detelinara,59,2.0,-1,0,91670.0
Detelinara,38,1.0,1,1,87550.0
Nova Detelinara,40,1.5,2,1,99500.0
Detelinara,47,2.0,1,0,96820.0
Salajka,101,4.0,2,1,291280.0
Podbara,83,4.0,2,0,154500.0
Veternik,81,4.0,1,1,116800.0
Grbavica,103,4.0,1,1,276000.0
Rotkvarija,72,3.0,1,1,130000.0
Grbavica,53,2.0,0,0,139050.0
Stari Grad,127,4.0,3,1,242000.0
Stari Grad,107,4.0,2,1,275500.0
Petrovaradin,226,7.0,1,0,350000.0
Adice,45,2.0,1,1,73990.0
Stari Grad,92,4.0,1,1,283500.0
Nova Detelinara,95,4.0,5,1,164800.0
Grbavica,98,4.0,1,1,302820.0
Grbavica,122,4.0,5,1,414700.0
Telep,57,3.0,2,1,140900.0
Telep,60,3.0,2,1,148320.0
Telep,62,3.0,2,1,153260.0
Telep,41,2.0,2,1,103500.0
Telep,60,3.0,3,1,148320.0
Telep,45,2.0,2,1,113560.0
Telep,40,2.0,3,1,100940.0
Telep,63,3.0,3,1,155730.0
Telep,101,4.0,4,1,249670.0
Stari Grad,46,2.0,3,1,189500.0
Novo Naselje,121,4.0,2,1,242000.0
Petrovaradin,39,1.5,1,1,105600.0
Telep,87,4.0,3,1,221450.0
Rotkvarija,47,2.5,0,1,160160.0
Stari Grad,23,0.5,-1,0,44290.0
Adice,59,3.5,0,1,123600.0
Podbara,24,0.5,1,1,72000.0
Grbavica,46,2.0,1,1,116300.0
Liman,66,3.0,1,0,158600.0
Liman,69,2.5,1,0,170700.0
Adice,66,4.0,1,0,108050.0
Sremska Kamenica,57,3.0,1,0,116250.0
Stari Grad,63,2.0,4,0,206000.0
Veternik,76,2.5,0,0,104820.0
Petrovaradin,40,1.5,2,1,96000.0
Stari Grad,92,4.0,1,1,274800.0
Stari Grad,19,0.5,3,1,54590.0
Sajmište,97,3.5,5,1,285000.0
Liman,53,2.0,2,1,118450.0
Stari Grad,32,1.0,4,1,90000.0
Novo Naselje,49,2.0,1,1,99990.0
Bulevar Oslobođenja,23,0.5,6,1,74000.0
Telep,62,2.5,4,1,119500.0
Liman,56,2.5,1,0,132870.0
Telep,105,3.0,1,0,140600.0
Sajmište,64,2.5,6,1,139000.0
Adice,68,3.5,2,1,105060.0
Stari Grad,95,4.0,6,1,190000.0
Nova Detelinara,47,2.0,4,1,114150.0
Novo Naselje,90,3.0,3,1,143680.0
Salajka,100,4.0,1,1,257500.0
Bulevar Oslobođenja,60,3.0,0,1,123600.0
Petrovaradin,277,6.0,1,1,339900.0
Nova Detelinara,42,2.0,1,1,108150.0
Adamovićevo Naselje,42,2.0,1,1,80000.0
Banatić,51,2.5,3,1,123600.0
Sremska Kamenica,48,2.5,0,1,108000.0
Sremska Kamenica,66,2.5,0,1,142870.0
Sremska Kamenica,87,3.5,0,1,187650.0
Bulevar Oslobođenja,23,0.5,7,0,74160.0
Sremska Kamenica,129,4.5,1,1,291200.0
Sremska Kamenica,93,3.5,0,1,200000.0
Sremska Kamenica,103,3.5,1,1,255700.0
Telep,44,2.0,2,1,100660.0
Veternik,92,4.0,1,1,179000.0
Satelit,48,2.0,1,0,72100.0
Stari Grad,55,2.5,1,0,123600.0
Stari Grad,58,2.5,4,1,149350.0
Bulevar Oslobođenja,48,2.5,6,0,113300.0
Adice,56,3.0,1,0,92300.0
Bulevar Oslobođenja,26,1.5,4,1,76200.0
Nova Detelinara,35,1.5,2,1,97300.0
Liman,107,3.0,3,1,247970.0
Grbavica,24,0.5,3,1,70550.0
Telep,46,2.0,2,1,108930.0
Podbara,60,2.0,3,0,154500.0
Satelit,60,3.0,5,1,129000.0
Telep,57,2.5,1,1,135700.0
Rotkvarija,23,0.5,2,1,64000.0
Podbara,43,2.0,1,0,123600.0
Grbavica,24,0.5,5,1,69000.0
Novo Naselje,56,2.0,0,0,108150.0
Petrovaradin,66,3.0,1,1,131920.0
Petrovaradin,60,3.0,1,1,120600.0
Petrovaradin,41,2.0,1,1,86835.0
Petrovaradin,55,3.0,2,1,115880.0
Petrovaradin,41,2.0,2,1,86840.0
Petrovaradin,66,3.0,2,1,132000.0
Petrovaradin,60,3.0,3,1,120600.0
Petrovaradin,66,3.0,3,1,131920.0
Novo Naselje,52,2.0,6,1,90700.0
Petrovaradin,31,1.5,0,0,43300.0
Sremska Kamenica,37,1.5,2,1,62000.0
Stari Grad,45,1.5,5,1,133900.0
Grbavica,33,1.0,1,0,82300.0
Stari Grad,85,4.5,2,1,257500.0
Telep,270,4.0,1,1,288400.0
Nova Detelinara,53,2.5,5,1,95000.0
Nova Detelinara,84,3.5,5,0,129800.0
Petrovaradin,60,2.0,2,0,135960.0
Sajmište,83,3.0,3,1,193640.0
Grbavica,73,3.0,1,0,172000.0
Detelinara,47,2.0,1,0,96820.0
Adice,67,3.5,2,1,103000.0
Detelinara,43,1.5,3,1,84500.0
Telep,125,5.0,1,1,289000.0
Stari Grad,54,2.0,2,1,283200.0
Grbavica,24,0.5,4,1,77250.0
Novo Naselje,40,1.5,0,0,87500.0
Novo Naselje,53,2.0,0,1,99910.0
Bulevar Oslobođenja,64,2.5,6,1,139050.0
Nova Detelinara,47,2.5,-1,0,58700.0
Telep,49,2.0,5,1,125000.0
Detelinara,37,1.5,5,0,72100.0
Telep,62,3.0,0,1,153250.0
Grbavica,98,4.0,2,1,333100.0
Telep,104,4.0,3,1,206200.0
Grbavica,74,3.0,2,1,251520.0
Grbavica,124,4.0,5,1,421500.0
Grbavica,72,3.0,1,1,244720.0
Telep,42,2.0,0,1,106000.0
Grbavica,124,4.0,4,1,421500.0
Detelinara,42,1.5,2,1,108150.0
Nova Detelinara,30,1.0,1,1,68000.0
Novo Naselje,63,2.0,4,1,97850.0
Grbavica,33,1.0,1,1,82400.0
Detelinara,31,1.5,4,0,79310.0
Nova Detelinara,28,0.5,1,1,65920.0
Sremska Kamenica,41,1.5,1,1,63000.0
Bulevar Oslobođenja,36,1.5,1,0,92700.0
Telep,57,3.5,2,1,101970.0
Novo Naselje,71,3.0,2,1,163770.0
Telep,37,1.5,0,1,85500.0
Stari Grad,131,4.0,2,0,337300.0
Klisa,57,2.0,1,1,103000.0
Adamovićevo Naselje,75,3.0,5,1,185400.0
Sremska Kamenica,43,1.5,0,1,110000.0
Nova Detelinara,62,2.5,2,1,125700.0
Banatić,51,2.0,3,1,130800.0
Liman,79,3.0,2,1,210100.0
Stari Grad,70,3.0,5,1,247500.0
Salajka,34,1.5,0,0,105400.0
Sajmište,44,2.5,1,1,55000.0
Liman,75,3.5,1,1,190550.0
Grbavica,51,2.0,0,1,115000.0
Detelinara,53,2.0,4,0,96540.0
Stari Grad,32,0.5,4,1,69200.0
Podbara,27,0.5,1,0,77050.0
Telep,35,1.5,0,0,87210.0
Telep,62,2.5,4,1,146780.0
Telep,60,2.5,1,1,141360.0
Telep,41,1.5,0,1,98320.0
Novo Naselje,24,0.5,0,0,59150.0
Novo Naselje,40,2.0,1,1,90790.0
Novo Naselje,56,3.0,2,1,121063.0
Bulevar Oslobođenja,75,4.0,7,0,185400.0
Bulevar Oslobođenja,59,2.0,1,1,127800.0
Rotkvarija,20,0.5,1,0,66950.0
Adice,74,4.0,1,0,129000.0
Adice,79,4.0,1,0,137500.0
Adice,76,4.0,1,0,133600.0
Adice,56,2.5,1,0,87700.0
Nova Detelinara,40,1.5,1,0,104600.0
Klisa,85,4.0,1,0,131250.0
Klisa,75,4.0,1,0,115900.0
Bulevar Oslobođenja,53,2.0,1,0,164300.0
Novo Naselje,65,2.0,7,0,123850.0
Rotkvarija,24,0.5,3,1,74200.0
Stari Grad,52,1.0,0,0,118450.0
Telep,40,2.0,1,1,102500.0
Liman,52,2.0,2,1,118450.0
Grbavica,176,3.5,3,1,351650.0
Klisa,77,4.0,1,1,118100.0
Telep,36,1.5,1,1,81880.0
Podbara,54,2.0,3,1,100000.0
Bulevar Oslobođenja,86,4.0,4,1,198000.0
Sremska Kamenica,72,4.0,0,1,92700.0
Bulevar Evrope,80,3.0,5,1,175000.0
Novo Naselje,55,2.0,0,1,108150.0
Salajka,50,2.0,4,1,97850.0
Adice,75,3.0,1,1,118400.0
Nova Detelinara,50,2.0,3,1,128700.0
Liman,73,3.0,5,1,154500.0
Novo Naselje,40,2.0,2,0,111240.0
Podbara,57,2.5,2,1,135400.0
